,Menu,Calories
24,Double Chocolate Loaf Cake,440
25,Everybody's Favorite - Bantam Bagel (2 Pack),100
26,Everything Bagel with Cheese,290
27,Frappuccino® Cookie Straw,90
28,French Toast - Bantam Bagels (2 Pack),200
29,Gluten-Free Marshmallow Dream Bar,240
30,Ice Cream Cone Sugar Cookie,250
31,Iced Lemon Pound Cake,470
32,Michigan Cherry Oat Bar,310
33,Multigrain Bagel,350
34,Oatmeal Cookie,290
35,Octopus Cookie,330
36,Old-Fashioned Glazed Doughnut,480
37,Peanut butter cup cookie,360
38,Pecan Tart,330
39,Petite Vanilla Bean Scone,120
40,Plain Bagel,280
41,Pumpkin Bread,410
42,Raspberry Swirl Loaf Cake,420
43,Raspberry Whoopie Pie,360
44,Reduced-Fat Cinnamon Swirl Coffee Cake,370
45,S'mores Bar,330
46,S'mores Bar Multipack,330
47,Sprouted Grain Vegan Bagel,330
48,Strawberry Cake Pop,180
49,The Classic - Bantam Bagels (2 Pack),200
50,Toffeedoodle,300
51,Vanilla Bean Whoopie Pie,360
52,Vermont Maple Walnut Muffin,390
53,Volpi™ Pepperoni & Tomato Savory Foldover,270
54,Strawberries & Jam Sandwich,600
55,Burrata & Basil Pesto Small Sandwich,300
56,Cage-Free Eggs & Seasoned Grains Side Salad,360
57,Cauliflower Tabbouleh Side Salad,130
58,Cubano Sandwich,430
59,Farmers' Market Protein Box,470
60,Garden Greens & Shaved Parmesan Side Salad,170
61,Green Goddess Avocado Salad,620
62,Herbed Chicken & Fig Spread Small Sandwich,300
63,Honey BBQ Sriracha Chicken Sandwich,360
64,Roasted Carrot & Kale Side Salad,440
65,Roasted Turkey & Dill Havarti Sandwich,600
66,Seared Steak & Cheddar Sandwich,530
67,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350
68,Smoked Mozzarella & Roasted Pepper Sandwich,500
69,Turkey & Fire-Roasted Corn Salad,560
70,Za'atar Chicken & Lemon Tahini Salad,570
71,BBQ Chicken Protein Box,420
72,Cheese & Fruit Protein Box,450
73,Chicken Wrap Protein Box,460
74,Eggs & Cheese Protein Box,460
75,PB&J Protein Box,520
76,Smoked Turkey Protein Box,360
77,Birthday Cake Pop,170
78,Chocolate Cake Pop,160
79,Chocolate Chip Cookie Dough Cake Pop,180
80,Pirate Cake Pop,180
81,Bacon Gouda & Egg Breakfast Sandwich,370
82,Certified Gluten-Free Breakfast Sandwich,280
83,Classic Whole-Grain Oatmeal,160
84,Double-Smoked Bacon Cheddar & Egg Sandwich,490
85,Ham & Cheese Croissant,320
86,Hearty Blueberry Oatmeal,220
87,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230
88,Sausage Cheddar & Egg Breakfast Sandwich,500
89,Seared Steak Egg & Tomatillo Wrap,410
90,Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450
91,Sous Vide Egg Bites: Bacon & Gruyere,310
92,Sous Vide Egg Bites: Egg White & Red Pepper,170
93,Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500
94,Spinach Feta & Cage Free Egg White Breakfast Wrap,290
95,Ancho Chipotle Chicken Panini ,500
96,Chicken & Quinoa Protein Bowl with Black Beans and Greens,420
97,Chicken Artichoke on Ancient Grain Flatbread,510
98,Chicken BLT Salad Sandwich,470
99,Egg Salad Sandwich,480
100,Homestyle Chicken & Double-Smoked Bacon,480
101,Italian-Style Ham & Spicy Salami,480
102,Lentils & Vegetable Protein Bowl with Brown Rice,650
103,Roasted Tomato & Mozzarella Panini,420
104,Turkey & Havarti Sandwich,460
105,Turkey Pesto Panini,560
106,Berry Trio Yogurt,240
107,Fresh Blueberries and Honey Greek Yogurt Parfait,240
108,Justin's Chocolate Hazelnut Butter,180
109,Justin's Classic Almond Butter,190
110,Lemon Chiffon Yogurt,340
111,Organic Avocado (Spread),90
112,Seasonal Fruit Blend,90
